unixTime,airHum,airTemp,wind,soilHum,soilTemp,light,(water on/off)
1630063842,30.70,28.70,46,1.31,14.13,65535,0
1630063903,33.50,28.70,46,1.30,14.13,65535,0
1630063964,33.10,28.30,34,1.30,14.13,65535,0
1630064024,34.50,28.90,43,1.30,14.13,65535,0
1630064085,32.50,28.60,35,1.30,14.19,65535,0
1630064146,32.60,29.20,34,1.30,14.19,65535,0
1630064207,32.70,30.20,41,1.30,14.19,65535,0
1630064267,30.80,29.90,36,1.30,14.25,65535,0
1630064328,30.40,30.00,39,1.31,14.25,65535,0
1630064389,30.00,29.80,45,1.31,14.31,65535,0
1630064450,30.50,29.30,34,1.31,14.31,65535,0
1630064510,31.80,30.00,38,1.31,14.38,65535,0
1630064571,30.40,30.50,34,1.31,14.38,65535,0
1630064632,31.10,30.90,37,1.31,14.38,65535,0
1630064692,30.20,31.60,38,1.31,14.44,65535,0
1630064753,29.40,31.40,39,1.31,14.44,65535,0
1630064814,28.70,31.50,36,1.31,14.50,65535,0
1630064875,28.50,31.80,33,1.31,14.50,65535,0
1630064935,29.40,32.10,39,1.31,14.50,65535,0
1630064996,28.30,32.30,39,1.31,14.56,65535,0
1630065057,28.20,31.80,43,1.31,14.56,65535,0
1630065118,28.70,30.50,41,1.31,14.56,65535,0
1630065178,29.30,30.40,43,1.31,14.63,65535,0
1630065239,28.90,30.60,36,1.32,14.63,65535,0
1630065300,30.60,31.10,41,1.32,14.69,65535,0
1630065361,28.90,30.30,45,1.31,14.69,65535,0
1630065421,29.30,30.40,40,1.32,14.69,65535,0
1630065482,29.60,30.60,42,1.31,14.75,65535,0
1630065543,29.90,30.80,45,1.32,14.75,65535,0
1630065604,28.30,31.10,38,1.32,14.75,65535,0
1630065664,29.20,31.30,39,1.32,14.81,65535,0
1630065725,28.80,31.50,39,1.32,14.81,65535,0
1630065786,27.80,31.80,35,1.32,14.88,65535,0
1630065846,28.90,31.40,37,1.32,14.88,65535,0
1630065907,29.20,32.40,38,1.32,14.88,65535,0
1630065968,28.80,32.20,33,1.32,14.94,65535,0
1630066029,29.30,32.90,35,1.32,14.94,65535,0
1630066089,27.90,33.40,36,1.32,15.00,65535,0
1630066150,28.30,33.50,41,1.32,15.00,65535,0
1630066211,26.20,32.80,41,1.32,15.00,65535,0
1630066272,26.70,32.50,36,1.32,15.06,65535,0
1630066332,27.30,32.70,37,1.32,15.06,65535,0
1630066393,26.90,32.90,38,1.32,15.13,65535,0
1630066454,26.70,32.90,32,1.32,15.13,65535,0
1630066515,27.30,33.70,42,1.32,15.13,65535,0
1630066575,25.80,33.80,39,1.32,15.19,65535,0
1630066636,25.70,34.00,44,1.32,15.19,65535,0
1630066697,25.60,33.50,36,1.32,15.25,65535,0
1630066758,26.30,33.80,41,1.32,15.25,65535,0
1630066818,25.50,33.40,38,1.32,15.25,65535,0
1630066879,27.00,33.30,35,1.32,15.25,65535,0
1630066940,26.70,33.70,41,1.32,15.31,65535,0
1630067001,26.30,34.20,33,1.32,15.31,65535,0
1630067061,27.00,34.90,34,1.32,15.31,65535,0
1630067122,25.90,35.60,33,1.32,15.38,65535,0
1630067183,25.80,36.20,43,1.32,15.38,65535,0
1630067243,24.40,35.40,36,1.32,15.38,65535,0
1630067304,25.80,34.70,46,1.32,15.38,65535,0
1630067365,25.00,34.00,43,1.32,15.44,65535,0
1630067426,26.50,33.70,48,1.32,15.44,65535,0
1630067486,25.40,33.10,36,1.32,15.44,65535,0
1630067547,27.70,33.00,36,1.32,15.44,65535,0
1630067608,27.20,33.40,38,1.32,15.50,65535,0
1630067669,25.70,32.80,37,1.32,15.50,65535,0
1630067729,26.40,32.80,36,1.32,15.50,65535,0
1630067790,25.60,33.00,37,1.33,15.50,65535,0
1630067851,25.80,33.50,40,1.33,15.50,65535,0
1630067912,25.50,33.20,48,1.33,15.56,65535,0
1630067972,25.60,32.80,41,1.32,15.56,65535,0
1630068033,25.90,32.40,37,1.33,15.56,65535,0
1630068094,27.70,32.30,52,1.33,15.56,65535,0
1630068155,26.00,31.50,37,1.32,15.56,65535,0
1630068215,27.00,31.10,37,1.32,15.56,65535,0
1630068276,27.10,31.20,32,1.32,15.56,65535,0
1630068337,29.50,31.80,34,1.32,15.56,65535,0
1630068398,27.40,31.90,37,1.32,15.56,65535,0
1630068458,27.20,32.20,38,1.32,15.63,65535,0
1630068519,28.10,32.00,38,1.32,15.63,65535,0
1630068580,26.60,31.70,40,1.32,15.63,65535,0
1630068640,26.80,31.40,43,1.32,15.63,65535,0
1630068701,26.80,30.90,39,1.32,15.63,65535,0
1630068762,27.10,30.50,34,1.32,15.63,65535,0
1630068823,28.30,30.60,39,1.32,15.63,65535,0
1630068883,27.80,30.30,38,1.32,15.63,65535,0
1630068944,28.10,30.00,43,1.32,15.63,65535,0
1630069005,28.50,29.40,39,1.32,15.63,65535,0
1630069066,29.60,29.20,36,1.32,15.63,65535,0
1630069126,28.70,28.80,39,1.32,15.63,65535,0
1630069187,29.10,28.70,37,1.32,15.69,65535,0
1630069248,31.50,28.80,38,1.32,15.69,65535,0
1630069308,30.10,28.90,34,1.31,15.69,65535,0
1630069369,30.50,28.90,37,1.31,15.69,65535,0
1630069430,29.20,28.70,37,1.31,15.69,65535,0
1630069491,29.70,28.60,34,1.31,15.69,65535,0
1630069551,29.50,28.80,56,1.31,15.69,65535,0
1630069612,28.70,28.20,38,1.31,15.69,65535,0
1630069673,29.40,28.00,38,1.31,15.69,65535,0
1630069734,29.70,27.90,41,1.31,15.69,65535,0
1630069794,30.30,27.80,34,1.30,15.69,65535,0
1630069855,30.80,27.80,36,1.31,15.69,65535,0
1630069916,30.80,28.10,39,1.31,15.69,65535,0
1630069977,30.10,27.90,36,1.31,15.69,65535,0
1630070037,30.80,28.00,40,1.30,15.69,65535,0
1630070098,29.90,28.10,37,1.30,15.69,65535,0
1630070159,29.80,28.10,38,1.30,15.69,65535,0
1630070219,30.40,28.10,40,1.30,15.69,65535,0
1630070280,29.10,28.40,36,1.30,15.69,65535,0
1630070341,30.20,28.30,34,1.30,15.69,65535,0
1630070402,30.30,28.50,46,1.30,15.69,65535,0
1630070462,29.10,28.50,39,1.30,15.69,65535,0
1630070523,29.00,28.30,34,1.31,15.69,65535,0
1630070584,29.90,28.40,48,1.31,15.69,65535,0
1630070645,29.30,28.20,58,1.31,15.69,65535,0
1630070705,29.50,27.70,36,1.31,15.69,65535,0
1630070766,29.90,27.70,40,1.31,15.69,65535,0
1630070827,30.20,27.70,38,1.31,15.69,65535,0
1630070887,29.80,27.60,37,1.31,15.69,65535,0
1630070948,30.20,27.60,40,1.31,15.69,65535,0
1630071009,30.00,27.60,41,1.31,15.69,65535,0
1630071070,31.30,27.60,39,1.31,15.69,65535,0
1630071130,30.30,27.50,40,1.31,15.69,65535,0
1630071191,30.10,27.40,36,1.31,15.69,65535,0
1630071252,31.60,27.40,39,1.31,15.69,65535,0
1630071313,29.90,27.30,36,1.31,15.69,65535,0
1630071373,32.10,27.40,34,1.31,15.63,65535,0
1630071434,31.10,27.50,36,1.31,15.63,65535,0
1630071495,30.30,27.00,33,1.31,15.69,65535,0
1630071555,32.50,27.20,39,1.31,15.69,65535,0
1630071616,32.00,27.30,37,1.31,15.69,65535,0
1630071677,32.40,27.30,38,1.31,15.69,65535,0
1630071738,32.50,27.30,39,1.31,15.63,65535,0
1630071798,30.90,27.10,38,1.31,15.63,65535,0
1630071859,33.20,27.10,36,1.31,15.63,65535,0
1630071920,31.80,27.00,41,1.31,15.63,65535,0
1630071981,31.70,26.90,37,1.31,15.63,65535,0
1630072041,32.40,26.90,47,1.31,15.63,65535,0
1630072102,30.60,26.90,37,1.31,15.63,65535,0
1630072163,31.10,26.70,43,1.31,15.63,65535,0
1630072223,31.10,26.80,55,1.31,15.63,65535,0
1630072284,31.10,26.50,38,1.31,15.63,65535,0
1630072345,31.80,26.60,37,1.31,15.63,65535,0
1630072406,31.80,26.80,35,1.31,15.63,65535,0
1630072466,33.50,26.90,43,1.31,15.63,65535,0
1630072527,31.10,27.10,42,1.31,15.63,65535,0
1630072588,32.30,27.00,36,1.31,15.63,65535,0
1630072649,32.50,27.10,41,1.31,15.63,65535,0
1630072709,30.70,27.20,44,1.31,15.63,65535,0
1630072770,29.90,27.20,44,1.31,15.63,65535,0
1630072831,31.20,27.30,37,1.31,15.56,65535,0
1630072891,30.50,27.30,36,1.31,15.63,65535,0
1630072952,31.30,27.40,36,1.31,15.63,65535,0
1630073013,30.90,27.30,34,1.31,15.63,65535,0
1630073074,30.90,27.20,37,1.31,15.56,65535,0
1630073134,31.00,27.20,35,1.31,15.56,65535,0
1630073195,33.00,27.20,38,1.31,15.56,65535,0
1630073256,34.30,27.40,37,1.32,15.56,65535,0
1630073317,31.30,27.30,46,1.31,15.56,65535,0
1630073377,30.30,27.30,39,1.31,15.56,65535,0
1630073438,31.00,27.10,40,1.32,15.56,65535,0
1630073499,31.80,27.00,41,1.32,15.56,65535,0
1630073559,30.40,26.80,35,1.32,15.56,65535,0
1630073620,31.60,26.70,39,1.31,15.56,65535,0
1630073681,30.90,26.60,36,1.32,15.56,65535,0
1630073742,31.70,26.50,40,1.32,15.56,65535,0
1630073802,30.70,26.40,67,1.32,15.56,65535,0
1630073863,31.60,26.30,43,1.32,15.56,65535,0
1630073924,32.10,26.20,39,1.32,15.56,65535,0
1630073984,33.10,26.20,36,1.32,15.50,65535,0
1630074045,32.60,26.20,48,1.32,15.50,65535,0
1630074106,32.30,26.20,36,1.32,15.56,65535,0
1630074167,32.30,26.20,40,1.32,15.50,65535,0
1630074227,32.20,26.10,43,1.32,15.50,65535,0
1630074288,32.30,26.00,43,1.32,15.50,65535,0
1630074349,31.70,26.00,36,1.32,15.50,65535,0
1630074410,32.00,25.90,36,1.32,15.50,65535,0
1630074470,32.20,25.90,36,1.32,15.50,65535,0
1630074531,32.60,26.00,43,1.32,15.50,65535,0
1630074592,31.80,25.90,34,1.32,15.50,65535,0
1630074652,32.50,25.90,40,1.32,15.50,65535,0
1630074713,33.10,26.00,38,1.32,15.50,65535,0
1630074774,32.10,26.00,36,1.32,15.50,65535,0
1630074835,32.10,26.00,47,1.32,15.50,65535,0
1630074895,31.50,25.90,33,1.32,15.50,65535,0
1630074956,32.50,25.90,32,1.32,15.50,65535,0
1630075017,33.50,26.00,32,1.32,15.44,65535,0
1630075078,32.70,26.00,41,1.32,15.44,65535,0
1630075138,32.50,26.10,35,1.32,15.44,65535,0
1630075199,32.10,26.00,36,1.32,15.44,65535,0
1630075260,33.10,26.00,36,1.32,15.44,65535,0
1630075320,33.10,25.90,36,1.32,15.44,65535,0
1630075381,33.40,25.90,44,1.32,15.44,65535,0
1630075442,33.30,25.90,42,1.32,15.44,65535,0
1630075503,34.00,25.80,39,1.32,15.44,65535,0
1630075563,32.80,25.70,39,1.32,15.44,65535,0
1630075624,33.10,25.70,38,1.32,15.38,65535,0
1630075685,32.40,25.60,48,1.32,15.38,65535,0
1630075745,32.10,25.60,37,1.32,15.38,65535,0
1630075806,33.20,25.60,37,1.32,15.38,65535,0
1630075867,32.40,25.70,41,1.32,15.38,65535,0
1630075928,33.70,25.70,34,1.32,15.38,65535,0
1630075988,32.70,25.90,35,1.32,15.38,65535,0
1630076049,33.40,25.90,38,1.32,15.38,65535,0
1630076110,33.20,26.00,35,1.32,15.38,65535,0
1630076171,32.60,26.10,45,1.32,15.38,65535,0
1630076231,32.30,26.00,41,1.32,15.38,65535,0
1630076292,32.60,25.90,38,1.32,15.38,65535,0
1630076353,32.50,25.80,38,1.32,15.38,65535,0
1630076413,31.90,25.80,39,1.32,15.38,65535,0
1630076474,32.10,25.80,40,1.32,15.31,65535,0
1630076535,32.10,25.70,44,1.32,15.31,65535,0
1630076596,31.70,25.60,38,1.32,15.31,65535,0
1630076656,32.60,25.50,37,1.32,15.31,65535,0
1630076717,32.90,25.50,38,1.32,15.31,65535,0
1630076778,33.70,25.60,41,1.32,15.31,65535,0
1630076839,33.20,25.70,36,1.32,15.31,65535,0
1630076899,33.60,25.70,39,1.32,15.31,65535,0
1630076960,34.20,25.70,33,1.32,15.31,65535,0
1630077021,32.60,25.70,38,1.32,15.31,65535,0
1630077081,32.40,25.60,35,1.32,15.31,65535,0
1630077142,32.60,25.50,38,1.32,15.25,65535,0
1630077203,32.40,25.50,36,1.32,15.31,65535,0
1630077264,32.70,25.60,35,1.32,15.25,65535,0
1630077324,32.10,25.60,36,1.32,15.25,65535,0
1630077385,32.30,25.70,37,1.32,15.25,65535,0
1630077446,32.60,25.60,41,1.32,15.25,65535,0
1630077506,32.30,25.70,33,1.32,15.25,65535,0
1630077567,32.70,25.70,37,1.32,15.25,65535,0
1630077628,32.30,25.70,35,1.32,15.25,65535,0
